5:9655.0;6:9655.0;7:9655.0;8:9653.0;9:7788.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9655.0;6:9657.0;7:9657.0;8:9655.0;9:5197.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:7806.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2606.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:5219.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:2614.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9655.0;6:9655.0;7:9655.0;8:9655.0;9:2615.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:5235.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9656.0;6:9657.0;7:9657.0;8:9656.0;9:5241.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9656.0;6:9657.0;7:9656.0;8:9656.0;9:7878.0;msgKey:taiwan_future_MTXM5_1s@1434345640573;Date:1434345640573;KBAR:taiwan_future_MTXM5_1s_1434345640573
5:9656.0;6:9657.0;7:9657.0;8:9656.0;9:5265.0;msgKey:taiwan_future_MTXM5_1s@1434345640574;Date:1434345640574;KBAR:taiwan_future_MTXM5_1s_1434345640574
5:9656.0;6:9656.0;7:9656.0;8:9656.0;9:5273.0;msgKey:taiwan_future_MTXM5_1s@1434345640574;Date:1434345640574;KBAR:taiwan_future_MTXM5_1s_1434345640574
5:9657.0;6:9657.0;7:9657.0;8:9657.0;9:2640.0;msgKey:taiwan_future_MTXM5_1s@1434345640574;Date:1434345640574;KBAR:taiwan_future_MTXM5_1s_1434345640574
